2018-05-25 23:21:12.938 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.alphatac.dataengine.source.OpenDataClientImplTest], using SpringBootContextLoader
2018-05-25 23:21:12.948 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.alphatac.dataengine.source.OpenDataClientImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-05-25 23:21:12.948 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.alphatac.dataengine.source.OpenDataClientImplTest]: OpenDataClientImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-05-25 23:21:13.088 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.alphatac.dataengine.DataengineApplication for test class com.alphatac.dataengine.source.OpenDataClientImplTest
2018-05-25 23:21:13.219 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-05-25 23:21:13.239 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@57ac5227, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4ba302e0, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@e98770d, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1ae67cad, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2f6e28bc, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7c098bb3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@31e4bb20, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@18cebaa5, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@463b4ac8, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@765f05af, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@62f68dff, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@f001896]
2018-05-25 23:21:13.625 [main] INFO  o.s.w.context.support.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@5ea502e0: startup date [Fri May 25 23:21:13 CST 2018]; root of context hierarchy
2018-05-25 23:21:15.700 [main] INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[47.75.78.250:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=8}
2018-05-25 23:21:16.331 [cluster-ClusterId{value='5b0829eb732c070398a215bd', description='null'}-47.75.78.250:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:88}] to 47.75.78.250:27017
2018-05-25 23:21:16.375 [cluster-ClusterId{value='5b0829eb732c070398a215bd', description='null'}-47.75.78.250:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=47.75.78.250:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 6, 4]}, minWireVersion=0, maxWireVersion=6, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=37027587}
2018-05-25 23:21:16.475 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
